Instancia;N_Itens;Algoritmo;Parametros;Melhor_Lucro;Otimo_Conhecido;Gap(%);Tempo_Medio(s);Iteracoes/Geracoes
P03;6;Busca Tabu;tabu_size=20, max_iterations=1000;150;150;0.0;0.0001;7
P03;6;Algoritmo Genetico;pop_size=50, generations=100, crossover_rate=0.8, mutation_rate=0.01;150;150;0.0;0.0168;100
P03;6;Algoritmo Genetico;pop_size=50, generations=100, crossover_rate=0.8, mutation_rate=0.05;150;150;0.0;0.0177;100
P03;6;Algoritmo Genetico;pop_size=50, generations=500, crossover_rate=0.8, mutation_rate=0.01;150;150;0.0;0.0837;500
P03;6;Algoritmo Genetico;pop_size=50, generations=500, crossover_rate=0.8, mutation_rate=0.05;150;150;0.0;0.0873;500
P03;6;Algoritmo Genetico;pop_size=50, generations=1000, crossover_rate=0.8, mutation_rate=0.01;150;150;0.0;0.1688;1000
P03;6;Algoritmo Genetico;pop_size=50, generations=1000, crossover_rate=0.8, mutation_rate=0.05;150;150;0.0;0.1731;1000
P03;6;Algoritmo Genetico;pop_size=100, generations=100, crossover_rate=0.8, mutation_rate=0.01;150;150;0.0;0.0336;100
P03;6;Algoritmo Genetico;pop_size=100, generations=100, crossover_rate=0.8, mutation_rate=0.05;150;150;0.0;0.0356;100
P03;6;Algoritmo Genetico;pop_size=100, generations=500, crossover_rate=0.8, mutation_rate=0.01;150;150;0.0;0.1688;500
P03;6;Algoritmo Genetico;pop_size=100, generations=500, crossover_rate=0.8, mutation_rate=0.05;150;150;0.0;0.1742;500
P03;6;Algoritmo Genetico;pop_size=100, generations=1000, crossover_rate=0.8, mutation_rate=0.01;150;150;0.0;0.3385;1000
P03;6;Algoritmo Genetico;pop_size=100, generations=1000, crossover_rate=0.8, mutation_rate=0.05;150;150;0.0;0.3506;1000
P04;7;Busca Tabu;tabu_size=5, max_iterations=100;107;107;0.0;0.0009;100
P04;7;Busca Tabu;tabu_size=5, max_iterations=500;107;107;0.0;0.0047;500
P04;7;Busca Tabu;tabu_size=5, max_iterations=1000;107;107;0.0;0.0095;1000
P04;7;Busca Tabu;tabu_size=10, max_iterations=100;107;107;0.0;0.0001;8
P04;7;Busca Tabu;tabu_size=10, max_iterations=500;107;107;0.0;0.0001;8
P04;7;Busca Tabu;tabu_size=10, max_iterations=1000;107;107;0.0;0.0001;8
P04;7;Busca Tabu;tabu_size=20, max_iterations=100;107;107;0.0;0.0001;8
P04;7;Busca Tabu;tabu_size=20, max_iterations=500;107;107;0.0;0.0001;8
P04;7;Busca Tabu;tabu_size=20, max_iterations=1000;107;107;0.0;0.0001;8
P04;7;Algoritmo Genetico;pop_size=50, generations=100, crossover_rate=0.8, mutation_rate=0.01;107;107;0.0;0.0174;100
